,0
696,-0.27
697,0.95
698,0.0
699,-0.54
700,0.33
701,-0.06
702,-0.53
703,0.05
704,-0.06
705,-0.21
706,0.32
707,0.48
708,0.94
709,0.73
710,0.85
711,2.32
712,0.59
713,0.81
714,2.55
715,0.19
716,0.67
717,1.97
718,-0.41
719,0.67
720,1.79
721,-0.5
722,0.43
723,1.13
724,-0.37
725,0.23
726,1.02
727,-0.17
728,0.21
729,0.93
730,-0.1
731,0.44
732,1.29
733,-0.05
734,0.45
735,1.59
736,-0.21
737,0.65
738,2.34
739,-0.2
740,0.35
741,2.15
742,-0.16
743,0.03
744,1.61
745,0.02
746,-0.21
747,0.7
748,0.48
749,-0.92
750,-0.82
751,1.25
752,-0.82
753,-1.72
754,0.98
755,-0.34
756,-1.52
757,1.05
758,-0.43
759,-0.58
760,1.23
761,0.08
762,1.27
763,1.42
764,0.77
765,3.77
766,0.28
767,0.86
768,4.4
769,-0.86
770,1.29
771,3.48
772,-1.36
773,1.24
774,2.68
775,-0.79
776,0.91
777,2.05
778,-0.15
779,0.43
780,1.87
781,0.39
782,-0.09
783,1.22
784,0.76
785,-0.52
786,0.36
787,0.82
788,-0.61
789,-0.26
790,1.06
791,-0.64
792,-0.51
793,1.01
794,-0.65
795,-0.87
796,0.72
797,-0.44
798,-0.7
799,0.54
800,-0.21
801,-0.23
802,0.47
803,0.24
804,1.01
805,0.74
806,1.0
807,3.08
808,0.41
809,0.94
810,3.79
811,-0.08
812,0.79
813,2.3
814,-1.07
815,1.18
816,2.36
817,-1.09
818,0.93
819,2.31
820,-1.14
821,0.71
822,2.33
823,-0.79
824,0.45
825,2.31
826,-0.05
827,0.03
828,1.65
829,0.42
830,-0.15
831,0.97
832,0.45
833,-0.27
834,0.41
835,0.37
836,-0.29
837,-0.13
838,0.4
839,-0.76
840,-0.83
841,0.63
842,-0.8
843,-1.13
844,1.04
845,-0.7
846,-0.79
847,1.0
848,-0.53
849,-0.2
850,1.03
851,-0.02
852,0.82
853,1.1
854,0.16
855,2.49
856,0.82
857,0.77
858,3.34
859,-0.08
860,0.81
861,3.0
862,-0.86
863,1.33
864,3.32
865,-1.16
866,1.28
867,2.42
868,-1.1
869,0.93
870,2.59
871,-0.54
872,0.57
873,2.61
874,0.06
875,0.01
876,2.02
877,0.48
878,-0.25
879,1.23
880,0.64
881,-0.37
882,0.44
883,0.65
884,-0.76
885,-0.51
886,1.06
887,-1.03
888,-1.17
889,1.22
890,-0.56
891,-1.0
892,0.91
893,-0.24
894,-0.62
895,0.7
896,-0.24
897,-0.02
898,0.78
899,-0.02
900,1.23
901,0.85
902,0.23
903,2.82
904,0.65
905,0.29
906,3.04
907,-0.07
908,0.94
909,2.75
910,-0.98
911,1.23
912,3.39
913,-0.56
914,0.94
915,1.66
916,-1.26
917,0.58
918,2.13
919,-0.65
920,0.41
921,2.54
922,-0.23
923,-0.01
924,2.24
925,0.26
926,-0.24
927,1.79
928,0.62
929,-0.29
930,0.83
931,0.79
932,-0.38
933,-0.25
934,1.08
935,-0.51
936,-0.98
937,1.26
938,-0.37
939,-1.13
940,0.99
941,-0.24
942,-0.91
943,0.72
944,-0.4
945,-0.49
946,0.77
947,-0.48
948,0.72
949,1.11
950,-0.46
951,3.02
952,1.25
953,-0.02
954,4.42
955,0.06
956,0.23
957,3.05
958,-1.0
959,1.06
960,2.44
961,-1.35
962,1.01
963,1.84
964,-1.42
965,0.6
966,2.52
967,-1.19
968,0.44
969,2.7
970,-0.41
971,-0.23
972,2.26
973,0.43
974,-0.35
975,1.82
976,0.65
977,-0.24
978,1.18
979,0.67
980,-0.45
981,0.28
982,0.99
983,-0.61
984,-0.58
985,1.14
986,-0.49
987,-0.97
988,0.86
989,-0.26
990,-0.93
991,0.6
992,-0.25
993,-0.56
994,0.49
995,-0.3
996,-0.12
997,0.54
998,0.21
999,1.3
1000,0.79
1001,0.72
1002,3.63
1003,0.02
1004,0.74
1005,3.32
1006,-0.1
1007,0.69
1008,2.03
1009,-0.52
1010,0.73
1011,0.97
1012,-0.19
1013,0.8
1014,0.75
1015,-0.29
1016,0.63
1017,0.69
1018,-0.14
1019,0.37
1020,0.7
1021,-0.09
1022,0.44
1023,1.1
1024,0.11
1025,0.52
1026,0.34
1027,0.21
1028,0.58
1029,0.22
1030,0.22
1031,0.44
1032,0.24
1033,0.4
1034,0.59
1035,0.66
1036,0.57
1037,0.86
1038,1.1
1039,0.42
1040,0.75
1041,0.72
1042,0.41
1043,0.72
1044,0.27
1045,0.33
1046,0.82
1047,0.88
1048,0.53
1049,0.71
1050,0.57
1051,0.61
1052,0.81
1053,0.65
1054,0.62
1055,1.0
1056,0.5
1057,0.5
1058,0.86
1059,0.39
1060,0.41
1061,0.9
1062,0.58
1063,0.54
1064,0.5
1065,0.64
1066,0.6
1067,0.24
1068,0.77
1069,0.71
1070,0.13
1071,0.8
1072,0.58
1073,0.06
1074,0.79
1075,0.72
1076,0.34
1077,0.51
1078,0.86
1079,0.46
1080,0.71
1081,1.47
1082,0.17
1083,2.68
1084,2.3
1085,-0.39
1086,2.31
1087,1.66
1088,0.26
1089,1.76
1090,0.69
1091,0.4
1092,0.8
